gönder app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-01,171,3.0,483.0,320.0406,0.4419,0.4948,0.5299,0.5467,0.5766,0.5897,0.6003,0.6146,0.7257,0.7617,0.782,0.8033
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-01,78,2.9857,209.0,64.3822,0.1664,0.1914,0.2183,0.2355,0.2438,0.2719,0.274,0.289,0.3456,0.3786,0.4137,0.4139
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-01,63,2.9914,173.5,48.0627,0.2428,0.2489,0.2508,0.2565,0.2573,0.2603,0.2633,0.2637,0.2777,0.2851,0.292,0.296
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-01,60,3.0,162.0,88.3285,0.4619,0.5077,0.5912,0.6663,0.6837,0.7107,0.7199,0.7233,0.7411,0.7608,0.7609,0.762
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-01,6,3.0,18.0,24.8568,0.0653,0.0707,0.0723,0.0725,0.1524,0.1524,0.1524,0.1524,0.1524,0.1533,0.1535,0.1535
Venomidle Survive,test,unknown,2025-07-01,1,0.2,0.2,0.0168,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-02,190,3.0,501.0,248.5077,0.4091,0.447,0.4669,0.4761,0.4841,0.5104,0.533,0.5409,0.5804,0.6304,0.6448,0.6665
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-02,179,2.5,397.5,110.3826,0.3292,0.3567,0.3743,0.3951,0.4146,0.4495,0.4722,0.4921,0.5673,0.6079,0.6584,0.7112
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-02,75,2.5,172.5,78.2185,0.2535,0.3174,0.3316,0.3549,0.3571,0.3578,0.3741,0.3771,0.4065,0.4241,0.4307,0.4433
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-02,61,2.5,145.0,37.2398,0.2399,0.2628,0.2951,0.3111,0.3268,0.3296,0.3371,0.3496,0.3726,0.3822,0.3897,0.3906
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-02,59,3.0,162.0,54.3215,0.2547,0.292,0.3714,0.3945,0.4381,0.4441,0.456,0.4584,0.4683,0.4683,0.4826,0.4826
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-02,5,3.0,12.0,28.4155,0.4138,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4456
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-03,485,3.0,1332.0,532.5366,0.6575,0.7996,0.853,0.8772,0.8929,0.9028,0.9134,0.9396,0.9584,0.9649,0.9698,0.9734
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-03,173,2.5,395.0,161.0197,0.366,0.3993,0.4439,0.4699,0.4899,0.5009,0.5106,0.5167,0.5451,0.5593,0.5696,0.5847
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-03,168,3.0,486.0,267.855,0.4383,0.488,0.5354,0.5647,0.6104,0.6258,0.639,0.6525,0.7091,0.7355,0.7765,0.8004
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-03,142,2.5,332.5,20.0796,0.0872,0.1119,0.1361,0.1427,0.1532,0.1805,0.1857,0.1859,0.1943,0.1944,0.1944,0.1944
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-03,121,2.5,250.0,41.5628,0.2367,0.2547,0.2747,0.3114,0.3176,0.3232,0.327,0.334,0.3838,0.4266,0.4548,0.478
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-03,74,2.5,155.0,67.7405,0.166,0.1956,0.2119,0.2389,0.2587,0.2671,0.2954,0.3121,0.3951,0.4115,0.4668,0.4704
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-03,64,2.5,150.0,49.8818,0.2837,0.3022,0.3147,0.3298,0.3472,0.3614,0.3759,0.44,0.4629,0.4729,0.4826,0.4862
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-03,13,2.5,25.0,7.5845,0.3034,0.4689,0.4768,0.4887,0.4887,0.4887,0.4887,0.4887,0.4887,0.4887,0.4887,0.4887
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-03,3,3.0,9.0,25.1283,0.4305,0.4458,0.4734,0.4734,0.6292,0.6457,0.6553,0.9346,1.1436,1.1436,1.1436,1.1436
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-04,1010,3.0,2739.0,2016.3513,0.72,0.8219,0.8645,0.8894,0.9064,0.918,0.928,0.933,0.9638,0.9777,0.9828,0.9878
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-04,189,3.0,498.0,287.3858,0.4842,0.5522,0.5742,0.5943,0.6167,0.6299,0.6343,0.6424,0.682,0.6883,0.6941,0.6954
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-04,176,2.5,402.5,257.3645,0.603,0.6936,0.7666,0.7819,0.7921,0.8072,0.8222,0.837,0.9155,0.9602,0.9825,1.0163
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-04,135,2.5,307.5,27.1505,0.0487,0.0593,0.0726,0.081,0.0903,0.104,0.1078,0.108,0.1196,0.1322,0.1328,0.1328
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-04,114,2.5,262.5,74.1822,0.2123,0.2475,0.301,0.3176,0.3368,0.3746,0.3776,0.3787,0.4073,0.4185,0.4253,0.4411
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-04,76,2.5,180.0,72.3071,0.1742,0.2433,0.269,0.2959,0.316,0.3257,0.3396,0.3669,0.4461,0.4629,0.4901,0.4961
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-04,59,2.5,137.5,53.6746,0.3092,0.3148,0.3148,0.3181,0.3194,0.3442,0.3582,0.3584,0.373,0.3765,0.3904,0.3904
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-04,10,2.5,25.0,3.0412,0.1047,0.1058,0.1077,0.4001,0.4023,0.4023,0.4023,0.4023,0.542,0.542,0.6817,0.6817
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-04,2,3.0,3.0,20.4157,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-05,955,3.0,2529.0,2014.4841,0.6405,0.7108,0.7532,0.7748,0.7953,0.8042,0.8152,0.8224,0.8634,0.887,0.9006,0.9248
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-05,177,2.5,407.5,186.2904,0.3481,0.3712,0.3914,0.4017,0.4111,0.4158,0.4265,0.4459,0.4745,0.487,0.5011,0.5134
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-05,172,3.0,477.0,291.5971,0.37,0.4116,0.4194,0.4301,0.4552,0.4651,0.4677,0.47,0.4804,0.4847,0.4859,0.4869
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-05,128,2.5,300.0,31.1843,0.0599,0.0766,0.093,0.0985,0.1004,0.1199,0.1268,0.1287,0.1351,0.1386,0.1425,0.1447
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-05,112,2.5,257.5,47.8612,0.1388,0.1449,0.1449,0.1533,0.1581,0.1581,0.1593,0.1597,0.1613,0.162,0.1685,0.1726
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-05,71,2.5,160.0,100.2819,0.22,0.3185,0.3372,0.3455,0.3473,0.3543,0.3583,0.3642,0.3874,0.3893,0.4188,0.421
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-05,57,2.5,130.0,35.4109,0.2254,0.2284,0.2308,0.2312,0.2312,0.2351,0.2351,0.2353,0.2393,0.2629,0.2797,0.2797
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-05,15,2.5,27.5,13.6981,0.3548,0.4436,0.4988,0.4988,0.6259,0.6286,0.6286,0.6652,0.909,0.909,0.909,0.909
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-05,3,3.0,9.0,13.1451,0.0552,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752,0.0752
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-06,690,3.0,1893.0,1509.2124,0.4899,0.5655,0.6022,0.6237,0.6371,0.6469,0.6583,0.6708,0.7069,0.7224,0.7289,0.7315
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-06,184,2.5,425.0,223.0501,0.3631,0.3931,0.4082,0.4204,0.4387,0.4484,0.4569,0.4696,0.5053,0.5459,0.5853,0.6299
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-06,169,3.0,480.0,215.9713,0.3468,0.3847,0.4198,0.4352,0.4483,0.4523,0.4609,0.466,0.4776,0.4871,0.5118,0.5273
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-06,121,2.5,277.5,31.9113,0.0763,0.088,0.1287,0.1442,0.1702,0.205,0.2261,0.2481,0.6415,0.9105,1.016,1.3549
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-06,113,2.5,265.0,89.7329,0.2512,0.2661,0.281,0.3278,0.3341,0.3411,0.3499,0.3519,0.3778,0.4045,0.4181,0.4184
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-06,69,2.5,160.0,76.0091,0.1687,0.2431,0.2721,0.3071,0.3142,0.3362,0.3798,0.3879,0.4227,0.4287,0.4408,0.4635
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-06,63,2.5,142.5,56.5951,0.3328,0.353,0.3692,0.3803,0.3855,0.3855,0.3855,0.3888,0.396,0.4003,0.4071,0.4142
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-06,12,2.5,27.5,6.9009,0.1714,0.1714,0.1714,0.1714,0.1714,0.1714,0.1714,0.1714,0.1714,0.1714,0.1714,0.1714
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-06,1,3.0,3.0,17.6186,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155,0.0155
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-07,516,3.0,1416.0,1007.1439,0.4706,0.5583,0.5875,0.615,0.6228,0.6293,0.6402,0.6471,0.6797,0.6945,0.7006,0.7075
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-07,186,2.5,422.5,215.225,0.4466,0.5046,0.5366,0.5582,0.5681,0.5791,0.5961,0.6037,0.6538,0.6886,0.7341,0.7778
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-07,174,3.0,477.0,254.7966,0.385,0.4297,0.462,0.4736,0.4943,0.5038,0.5101,0.5128,0.5328,0.5448,0.5547,0.5583
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-07,125,2.5,292.5,35.4942,0.0751,0.0996,0.105,0.1126,0.1339,0.1412,0.1454,0.1455,0.1517,0.1517,0.1532,0.1552
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-07,118,2.5,262.5,58.1471,0.1665,0.1993,0.2096,0.2899,0.3155,0.328,0.3352,0.339,0.4297,0.5668,0.6183,0.6725
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-07,71,2.5,165.0,71.0289,0.1935,0.2374,0.2675,0.2908,0.3005,0.3081,0.3102,0.3157,0.3402,0.3432,0.3458,0.3459
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-07,58,2.5,135.0,42.8506,0.2637,0.2947,0.3041,0.3211,0.3419,0.3601,0.3605,0.361,0.3883,0.396,0.4,0.404
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-07,12,2.5,25.0,12.7093,0.1314,0.1324,0.1324,0.2721,0.2721,0.2721,0.2721,0.2721,0.4118,0.4118,0.4118,0.4118
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-07,4,3.0,12.0,23.0776,0.1331,0.1331,0.1331,0.2276,0.2276,0.2276,0.2276,0.2276,0.2286,0.2379,0.2379,0.2379
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-08,457,3.0,1245.0,996.0276,0.4944,0.562,0.5965,0.6114,0.623,0.6356,0.6482,0.6585,0.6837,0.697,0.7138,0.7223
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-08,186,2.5,432.5,240.9587,0.4251,0.4627,0.5191,0.5626,0.5765,0.6004,0.6396,0.6633,0.685,0.6987,0.717,0.739
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-08,173,3.0,474.0,324.1698,0.4771,0.548,0.5675,0.586,0.5956,0.6098,0.6175,0.6221,0.6321,0.6524,0.6656,0.6857
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-08,115,2.5,270.0,50.831,0.0765,0.0823,0.0865,0.1415,0.1497,0.1511,0.1564,0.1565,0.1567,0.1567,0.1567,0.157
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-08,112,2.5,262.5,64.184,0.1687,0.2028,0.2091,0.2261,0.2648,0.2856,0.2907,0.2991,0.3099,0.3112,0.3248,0.3248
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-08,75,2.5,165.0,81.7603,0.2599,0.3238,0.3982,0.4117,0.4373,0.4519,0.4564,0.471,0.5536,0.5577,0.5619,0.5619
Bus Frenzy,AppSa_BusFrenzy_iOS_UK_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-08,73,2.0,124.0,58.2215,0.6358,0.7083,0.7319,0.7433,0.7441,0.7445,0.7447,0.7466,0.7519,0.7754,0.7802,0.7842
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-08,57,2.5,130.0,56.8511,0.3432,0.3666,0.3673,0.3723,0.3742,0.3746,0.3746,0.3748,0.3861,0.3925,0.3925,0.3925
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-08,12,2.5,30.0,4.9522,0.1624,0.1837,0.1837,0.1837,0.1837,0.1837,0.1837,0.1837,0.1837,0.1837,0.1858,0.1858
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-08,4,3.0,12.0,15.3556,0.4182,0.4182,0.4182,0.4182,0.4182,0.4182,0.4182,0.4182,0.4244,0.4337,0.4337,0.4337
Bus Frenzy,AppSa_BusFrenzy_iOS_UK_CPE ({campaign_id}),SPE_WUpaY0xnb1A3QWNh,2025-07-08,2,2.0,4.0,9.426,2.3568,2.3581,2.3581,2.3581,2.3581,2.3581,2.3581,2.3581,2.3581,2.3581,2.3582,2.3582
Bus Frenzy,AppSa_BusFrenzy_iOS_UK_CPE_{campaign_id},SPE_WUpaY0xnb1A3QWNh,2025-07-08,1,2.0,2.0,1.1898,0.5949,0.5949,0.5949,0.5949,0.5949,0.5949,0.5949,0.5949,0.5949,0.5949,0.5949,0.5949
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-09,402,3.0,1074.0,835.4588,0.4923,0.5632,0.6129,0.6572,0.6743,0.6923,0.7018,0.7121,0.7542,0.7618,0.7719,0.7849
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-09,183,2.5,415.0,214.5578,0.3613,0.3867,0.4163,0.4281,0.454,0.4628,0.4778,0.483,0.5735,0.5962,0.639,0.6809
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-09,177,3.0,477.0,302.9221,0.4631,0.4932,0.5303,0.5354,0.541,0.5474,0.5545,0.56,0.6084,0.6213,0.6295,0.6431
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-09,113,2.5,257.5,104.4554,0.2973,0.3371,0.3906,0.4252,0.4363,0.4381,0.4384,0.4384,0.4535,0.4535,0.4556,0.4556
Bus Frenzy,AppSa_BusFrenzy_iOS_UK_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-09,112,2.0,196.0,114.2317,0.5322,0.5858,0.604,0.6098,0.6131,0.6166,0.6181,0.6211,0.6348,0.6398,0.6415,0.6415
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-09,60,2.0,112.0,62.3138,0.4283,0.4419,0.4665,0.4779,0.4861,0.4889,0.4949,0.5,0.5076,0.5325,0.5335,0.5363
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-09,12,2.5,27.5,5.4407,0.0652,0.0681,0.0681,0.0681,0.0714,0.0714,0.0714,0.0761,0.0773,0.0774,0.0774,0.0889
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-09,8,2.5,12.5,19.6173,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068,0.0068
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-09,2,2.5,5.0,42.8699,0.1556,0.1556,0.1816,0.1816,0.1816,0.1879,0.1934,0.2003,0.2003,0.2003,0.2003,0.2003
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-09,2,3.0,6.0,14.1209,0.4149,0.4604,0.4604,0.4695,0.4695,0.4695,0.4695,0.4695,0.7009,0.7851,0.7851,0.7851
Bus Frenzy,AppSa_BusFrenzy_iOS_UK_CPE ({campaign_id}),SPE_WUpaY0xnb1A3QWNh,2025-07-09,0,0.0,0.0,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-10,419,3.0,1158.0,796.3167,0.4357,0.4996,0.5398,0.5634,0.5847,0.6027,0.6178,0.6244,0.657,0.675,0.6802,0.683
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SEA_ZUpIY1o2eFJEa1Mw,2025-07-10,201,2.0,376.0,124.8877,0.4229,0.4677,0.4977,0.5169,0.5573,0.5783,0.5874,0.5958,0.6267,0.6389,0.6449,0.6465
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-10,188,2.5,410.0,258.193,0.4664,0.4998,0.5233,0.5389,0.56,0.5769,0.5874,0.6004,0.6811,0.7163,0.7382,0.7691
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-10,184,3.0,501.0,296.9116,0.4193,0.4854,0.5303,0.5694,0.5993,0.6057,0.6076,0.6134,0.6353,0.6467,0.6479,0.6532
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-10,115,2.5,262.5,97.1586,0.2053,0.2246,0.23,0.2406,0.2436,0.2455,0.2495,0.258,0.2641,0.2792,0.2807,0.3206
Bus Frenzy,AppSa_BusFrenzy_iOS_UK_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-10,105,2.0,196.0,131.1281,0.7212,0.7754,0.8038,0.8115,0.8198,0.8198,0.8259,0.8332,0.8448,0.8507,0.8509,0.8509
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-10,55,2.0,104.0,59.9392,0.3323,0.3672,0.3816,0.3855,0.3863,0.3863,0.3909,0.3957,0.4001,0.4076,0.4384,0.4394
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-10,14,2.5,32.5,9.5596,0.1769,0.1801,0.2459,0.2459,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-10,4,2.5,10.0,37.834,0.3832,0.5223,0.536,0.5678,0.5678,0.7163,0.7215,0.7889,0.8674,0.8901,0.9512,0.9512
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-10,3,2.5,7.5,16.9692,0.0314,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-10,1,3.0,3.0,10.3816,0.1234,0.1234,0.1234,0.1234,0.1234,0.1234,0.1234,0.1234,0.1234,0.1234,0.1234,0.1234
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-11,332,3.0,903.0,616.6233,0.4019,0.457,0.5186,0.5491,0.5695,0.5867,0.5974,0.6093,0.6387,0.6494,0.6566,0.6613
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-11,186,2.5,407.5,243.3322,0.4114,0.4471,0.4913,0.5077,0.5296,0.5454,0.5591,0.5663,0.6289,0.6856,0.7083,0.7689
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-11,177,3.0,468.0,301.8865,0.4167,0.4593,0.4682,0.4718,0.4771,0.4903,0.4967,0.4994,0.5163,0.533,0.5499,0.5617
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-11,116,2.5,257.5,102.2766,0.2553,0.2785,0.2996,0.3031,0.3077,0.3118,0.3236,0.3236,0.3578,0.3646,0.3808,0.3808
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SEA_ZUpIY1o2eFJEa1Mw,2025-07-11,104,2.0,184.0,116.1516,0.5634,0.6426,0.6972,0.753,0.7809,0.8006,0.8217,0.8322,0.8797,0.9109,0.9301,0.9432
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-11,57,2.0,106.0,52.5212,0.3706,0.4033,0.4128,0.4134,0.4148,0.4228,0.4317,0.4351,0.4447,0.4975,0.5039,0.5063
Bus Frenzy,AppSa_BusFrenzy_iOS_UK_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-11,45,2.0,84.0,75.3699,0.3417,0.3778,0.3924,0.3948,0.401,0.401,0.4036,0.4081,0.4085,0.4086,0.4086,0.4087
Venomidle Survive,AppSa_Alien_GP_US_CPI,WUpaY0xnb1A3QWNh,2025-07-11,12,2.5,27.5,4.3325,0.1422,0.1422,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768,0.1768
Venomidle Survive,AppSa_Alien_GP_US_CPI,LV9UVnNKZTY4WjZW,2025-07-11,4,2.5,10.0,19.6251,0.0377,0.0377,0.0377,0.0432,0.0432,0.0432,0.0432,0.0432,0.0704,0.1241,0.1369,0.1369
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,LV9UVnNKZTY4WjZW,2025-07-11,3,2.5,5.0,32.5922,0.2175,0.2175,0.2175,0.2175,0.2175,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918,0.2918
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SAP_LV9UVnNKZTY4WjZW,2025-07-11,1,3.0,3.0,13.7047,0.5372,0.5372,0.8616,0.8616,0.8616,0.8616,0.8616,0.8616,0.8616,0.8616,0.8616,0.8616
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SPE_WUpaY0xnb1A3QWNh,2025-07-12,282,3.0,789.0,589.8195,0.4711,0.5371,0.5789,0.6045,0.621,0.6293,0.6491,0.6562,0.6967,0.7019,0.7117,0.7119
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SFT_MTkxNDF8,2025-07-12,193,2.5,452.5,221.024,0.3799,0.4246,0.4604,0.4778,0.4968,0.5011,0.5138,0.5236,0.5506,0.5696,0.5837,0.5991
Bus Frenzy,AppSa_BusFrenzy_iOS_US_CPE,SFT_MTkwMzZ8,2025-07-12,188,3.0,480.0,322.9438,0.5384,0.5831,0.6062,0.6142,0.6291,0.6422,0.6471,0.6474,0.6695,0.6775,0.6857,0.6948
Bus Frenzy,AppSa_BusFrenzy_GP_US_CPE,SEA_ZUpIY1o2eFJEa1Mw,2025-07-12,122,2.0,230.0,134.1396,0.5107,0.5497,0.5907,0.6128,0.6364,0.6709,0.6972,0.7142,0.7528,0.7654,0.7784,0.7825
Venomidle Survive,AppSa_Alien_iOS_US_CPI,WUpaY0xnb1A3QWNh,2025-07-12,118,2.5,257.5,92.1444,0.2095,0.2368,0.2475,0.2532,0.2572,0.2714,0.2791,0.28,0.291,0.2983,0.2985,0.3121
