app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
Frozen Fisher,FrozenFisher_AND_T3_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-16,387,0.0,6.22,5.5362,0.7739,0.9177,0.9459,0.9519,0.9705,0.9818,0.9912,0.9954,0.9993,1.0004,1.0083,1.0109
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-16,377,0.0,4.62,21.3152,3.4065,4.0876,4.1864,4.2466,4.2498,4.2499,4.2521,4.2521,4.258,4.258,4.258,4.258
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-15,375,0.0,3.07,21.6075,5.5464,6.5118,6.8449,7.0922,7.1251,7.158,7.1717,7.1732,7.2004,7.2214,7.223,7.2281
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-17,360,0.0,3.27,17.8376,3.3305,3.6765,3.812,3.8453,3.8821,3.902,3.902,3.9028,3.949,3.9651,3.9663,3.9663
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-13,357,0.0,4.94,6.3703,1.0933,1.2723,1.3172,1.3453,1.3982,1.422,1.4412,1.4706,1.6018,1.6345,1.6345,1.6345
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTk5,2025-07-03,343,0.0,3.97,9.122,1.6709,2.0815,2.1559,2.2011,2.2207,2.2296,2.3162,2.4154,2.4268,2.4328,2.4342,2.4343
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTk5,2025-07-05,339,0.0,3.03,9.3067,2.3686,2.9022,3.025,3.039,3.0859,3.2531,3.4598,3.5638,3.5673,3.5686,3.5687,3.5687
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-17,324,0.0,3.42,8.5619,2.0544,2.2191,2.2527,2.2632,2.2775,2.2914,2.2995,2.3089,2.4206,2.4315,2.4315,2.4315
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTk5,2025-07-06,315,0.0,2.75,11.0798,2.817,3.4895,3.7009,3.8436,3.9324,3.9678,3.9827,4.0031,4.1072,4.1163,4.1183,4.1187
Frozen Fisher,FrozenFisher_T2_CPA_IOS_APPS,Nzcx,2025-07-03,314,0.0,0.4,38.9762,93.8522,106.156,109.5635,112.1865,114.9922,116.6042,119.1722,120.8878,125.7745,126.5778,128.5732,129.7225
