app,campaign_network,adgroup_network,day,installs,ecpi,cost,all_revenue,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d14,roas_d21,roas_d30,roas_d45
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-15,313,0.0,3.55,6.9471,1.5705,1.7586,1.8568,1.9263,1.9466,1.9761,2.0105,2.0164,2.1369,2.1415,2.1415,2.1415
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTk5,2025-07-04,312,0.0,2.55,10.3666,2.9443,3.3237,3.4463,3.4757,3.5449,3.5839,3.6197,3.6197,3.63,3.6511,3.6513,3.6695
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-14,305,0.0,4.5,7.3133,1.201,1.3293,1.3775,1.4021,1.4679,1.471,1.472,1.4868,1.5488,1.5491,1.5491,1.5491
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-19,300,0.0,4.14,7.2672,1.1543,1.4002,1.4375,1.4826,1.539,1.5665,1.574,1.5911,1.6277,1.6277,1.6277,1.6277
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-16,280,0.0,3.17,5.8607,1.4913,1.669,1.7003,1.7677,1.7738,1.8238,1.8485,1.8771,1.9483,1.9502,1.9502,1.9502
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-26,259,0.0,2.84,7.4948,2.1063,2.3469,2.4239,2.4405,2.4405,2.4805,2.493,2.493,2.493,2.493,2.493,2.493
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-17,255,0.0,1.58,10.6754,4.6459,5.4456,5.6954,5.7196,5.7297,5.753,5.7656,5.7923,5.803,5.8111,5.8111,5.8206
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-20,254,0.0,2.8,6.722,1.6966,1.9192,2.0028,2.0138,2.0472,2.0993,2.1049,2.1051,2.1154,2.1154,2.1154,2.1154
Frozen Fisher,FrozenFisher_T2_CPA_IOS_APPS,Nzcx,2025-07-16,252,0.0,0.32,40.3118,117.0512,121.7619,122.9419,123.6656,123.7506,124.0253,124.3347,124.5284,124.8694,125.08,125.2762,125.3072
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-14,250,0.0,1.62,12.7944,5.6573,6.7099,7.2304,7.274,7.3329,7.3329,7.3368,7.3595,7.4216,7.4472,7.454,7.5028
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-12,247,0.0,2.41,3.4036,1.322,1.6428,1.8471,1.9346,1.9662,2.0168,2.036,2.038,2.3958,2.4088,2.4088,2.4088
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-18,247,0.0,3.25,7.5229,1.8252,2.3834,2.53,2.7602,2.9274,3.0452,3.1318,3.1692,3.3202,3.3202,3.3202,3.3202
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-06,246,0.0,2.33,11.7348,4.1024,4.7273,5.1703,5.6396,5.7258,5.9875,6.0942,6.1552,6.2433,6.2601,6.2689,6.2689
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-25,244,0.0,2.27,5.9907,1.8999,2.1046,2.13,2.1595,2.207,2.2241,2.2309,2.231,2.231,2.231,2.231,2.231
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-24,237,0.0,6.55,5.9441,0.6276,0.7283,0.769,0.7863,0.7915,0.7935,0.795,0.7989,0.7989,0.7989,0.7989,0.7989
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-11,237,0.0,3.48,15.2988,3.2741,3.7432,3.8815,4.088,4.1571,4.1697,4.195,4.2766,4.286,4.3078,4.3305,4.3328
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-09,235,0.0,3.31,17.9512,3.7212,4.0718,4.2737,4.3857,4.4391,4.5112,4.6031,4.6554,4.7525,4.8157,4.8169,4.8225
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-16,235,0.0,1.05,8.6694,5.6726,6.727,6.817,6.8244,6.8244,6.9552,7.009,7.009,7.1306,7.1306,7.1419,7.1722
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-27,233,0.0,3.94,5.9782,1.1406,1.4216,1.4611,1.4985,1.5031,1.5165,1.5165,1.5165,1.5165,1.5165,1.5165,1.5165
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTk5,2025-07-08,228,0.0,5.11,12.8394,1.745,2.1567,2.4116,2.6001,2.7858,3.0874,3.2885,3.3757,3.6203,3.6211,3.6217,3.6224
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-02,227,0.0,1.13,9.8752,6.0059,6.8885,6.9893,6.999,7.0528,7.1158,7.1891,7.3953,7.4563,7.4998,7.4998,7.5085
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-05,224,0.0,1.48,14.5009,7.593,8.0749,8.2442,8.3164,8.6768,8.7317,8.7335,8.7862,8.9668,8.9681,8.9684,8.972
Color Stone Sort,Colorstone_T3_AND_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-16,219,0.0,2.68,4.3273,1.3051,1.4515,1.4864,1.5167,1.5212,1.5322,1.5325,1.5357,1.5783,1.5797,1.5801,1.5801
Frozen Fisher,FrozenFisher_T2_CPA_IOS_APPS,Nzcx,2025-07-15,219,0.0,0.32,37.3225,105.9884,109.4884,110.1178,110.9866,112.4206,112.4206,112.4584,112.5531,114.0159,114.1934,114.5481,114.7759
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTk5,2025-07-09,218,0.0,3.27,13.3474,2.674,3.1154,3.1568,3.1738,3.1946,3.1946,3.1946,3.1999,3.2151,3.2151,3.2151,3.2155
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTk5,2025-07-02,217,0.0,2.05,7.0167,2.3296,2.9882,3.0627,3.104,3.1411,3.1429,3.157,3.157,3.1658,3.1801,3.1801,3.1801
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTk5,2025-07-07,216,0.0,2.11,11.5509,3.6092,4.3383,4.4847,4.5102,4.5448,4.5514,4.5514,4.5514,4.5578,4.5602,4.5604,4.5605
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-03,216,0.0,1.48,8.6589,4.2896,4.4924,4.6111,4.6501,4.7766,4.8439,4.9041,4.9707,4.9961,5.0228,5.023,5.023
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-15,216,0.0,2.74,12.5986,3.4641,3.8513,4.105,4.1243,4.1361,4.1369,4.1434,4.147,4.1481,4.1491,4.172,4.2016
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-07,214,0.0,1.34,12.6564,5.885,6.6522,6.7881,6.9774,6.9774,6.995,7.0861,7.1425,7.5347,7.5813,7.5825,7.5825
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-09,213,0.0,2.44,13.489,3.498,4.2213,4.5242,4.6409,4.7753,4.823,4.8634,4.916,5.179,5.2355,5.2356,5.2373
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-29,213,0.0,2.05,4.5884,1.6372,1.8334,1.8957,1.8958,1.8958,1.8958,1.8958,1.8958,1.8958,1.8958,1.8958,1.8958
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-08,213,0.0,1.05,13.5207,8.7575,9.8343,10.2383,10.5078,10.6794,10.7025,10.7025,10.7025,10.8063,10.8807,10.962,10.981
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTk5,2025-07-10,209,0.0,3.78,13.0644,2.0306,2.3965,2.4042,2.4261,2.4261,2.4342,2.4351,2.4358,2.4359,2.4362,2.4362,2.4362
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-21,206,0.0,2.18,6.1652,1.8956,2.0515,2.131,2.1926,2.2364,2.2466,2.2606,2.2634,2.2775,2.2775,2.2775,2.2775
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-10,205,0.0,1.3,11.299,6.0635,6.9132,7.1695,7.1828,7.1959,7.2295,7.2298,7.2299,7.2609,7.2612,7.2637,7.2637
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-07,203,0.0,1.49,15.2969,7.8989,9.7489,10.4037,10.6195,10.7075,10.8106,11.0393,11.0774,11.2965,11.3025,11.3027,11.3077
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-02,202,0.0,1.4,9.9712,5.5094,6.2614,6.9471,7.1679,7.3284,7.3333,7.372,7.5084,8.3349,8.3354,8.3462,8.3462
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-22,201,0.0,3.9,5.5914,0.9756,1.0555,1.1123,1.128,1.1451,1.1485,1.1502,1.1737,1.1914,1.1914,1.1914,1.1914
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-28,201,0.0,2.85,7.1072,1.8805,2.077,2.1653,2.1872,2.1981,2.1981,2.1981,2.1981,2.1981,2.1981,2.1981,2.1981
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-30,201,0.0,1.71,4.2969,1.886,2.1083,2.1739,2.1739,2.1739,2.1739,2.1739,2.1739,2.1739,2.1739,2.1739,2.1739
Frozen Fisher,FrozenFisher_T2_CPA_IOS_APPS,Nzcx,2025-07-17,201,0.0,0.16,30.3624,172.47,179.7288,180.5206,180.5206,180.5206,180.7087,180.7087,180.7087,181.2406,181.3831,181.9025,181.9025
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-14,199,0.0,2.34,10.6151,3.3924,3.7318,3.8374,3.8508,3.8659,3.9239,3.9241,3.9725,4.1466,4.1472,4.15,4.3586
Frozen Fisher,FrozenFisher_AND_T3_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-02,199,0.0,4.44,5.9759,0.9825,1.0394,1.0699,1.0773,1.0845,1.0864,1.0864,1.0913,1.0914,1.0914,1.0914,1.0914
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-23,195,0.0,1.7,4.8411,1.7754,1.9737,2.0579,2.0785,2.0935,2.1032,2.1218,2.1308,2.1399,2.1399,2.1399,2.1399
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-08,194,0.0,2.21,15.3651,4.7328,5.3938,5.6797,5.7749,5.8057,5.8351,5.8355,5.8541,5.8994,5.9047,5.9054,5.9062
Frozen Fisher,FrozenFisher_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-09,190,0.0,72.05,46.9061,0.3681,0.5055,0.5897,0.622,0.6417,0.6688,0.6855,0.7021,0.7948,0.8328,0.8414,0.8441
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-11,189,0.0,1.43,15.5238,8.2366,8.8015,10.4929,11.0699,11.1301,11.1783,12.1224,12.1224,12.1444,12.1527,12.1974,12.198
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-12,189,0.0,1.33,9.1966,4.35,4.8805,5.2241,5.3539,5.3844,5.4676,5.4866,5.4869,5.4917,5.5187,5.5193,5.5284
Color Stone Sort,Colorstone_T3_ZAINID_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-23,188,0.0,4.49,12.2798,1.7894,2.2071,2.3662,2.4841,2.5828,2.6459,2.7564,2.8076,3.1832,3.1832,3.1832,3.1832
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-04,187,0.0,1.26,8.1724,5.1225,6.4764,6.8326,7.049,7.4397,7.7033,7.9071,8.07,8.3197,8.3319,8.3571,8.3691
Color Stone Sort,Colorstone_T3_AND_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-07,186,0.0,1.5,4.8791,2.2799,2.5021,2.531,2.5384,2.5633,2.5633,2.5638,2.5638,2.5747,2.5935,2.5988,2.5988
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-10,186,0.0,3.85,13.0434,2.3088,2.5907,2.8252,2.9171,2.9346,2.9648,2.9727,2.9776,3.0285,3.0319,3.0319,3.0321
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-13,182,0.0,1.37,9.3733,4.8882,5.1584,5.393,5.3999,5.4616,5.504,5.5196,5.5218,5.5355,5.5645,5.5646,5.5648
Color Stone Sort,Colorstone_T3_AND_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-08,181,0.0,2.36,4.7344,1.361,1.5695,1.5856,1.5856,1.5886,1.598,1.6262,1.6264,1.64,1.6421,1.6421,1.6449
Frozen Fisher,FrozenFisher_AND_T3_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-03,181,0.0,4.93,4.517,0.6687,0.7566,0.786,0.827,0.8311,0.837,0.8385,0.8393,0.8657,0.8726,0.8726,0.8726
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-21,178,0.0,51.14,24.1472,0.3769,0.427,0.4463,0.4602,0.4782,0.4837,0.4931,0.4986,0.523,0.5457,0.5737,0.5892
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-18,178,0.0,2.24,9.8245,2.7658,2.8611,2.8757,2.9203,2.9271,2.9776,2.9804,2.9805,3.0025,3.0178,3.0179,3.0241
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-12,176,0.0,2.57,11.8685,2.6249,3.2387,3.513,3.6763,3.9339,3.9721,4.0022,4.0898,4.2846,4.3122,4.3213,4.3696
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NTI4,2025-08-31,176,0.0,1.34,3.4239,1.8649,2.0769,2.0769,2.0769,2.0769,2.0769,2.0769,2.0769,2.0769,2.0769,2.0769,2.0769
Color Stone Sort,Colorstone_T3_ZAINID_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-21,174,0.0,3.64,10.4278,2.2399,2.4938,2.6341,2.7146,2.7636,2.7838,2.7938,2.8167,2.9995,2.9995,2.9995,2.9995
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-20,172,0.0,84.05,27.8415,0.2688,0.2896,0.2974,0.3064,0.312,0.3179,0.3214,0.3257,0.3315,0.3382,0.345,0.3475
Frozen Fisher,FrozenFisher_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-08,171,0.0,76.27,38.3824,0.2808,0.4024,0.4534,0.4784,0.5058,0.5355,0.558,0.5911,0.6503,0.6678,0.68,0.6801
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-19,170,0.0,78.55,25.0983,0.2832,0.3098,0.3206,0.3289,0.3317,0.3364,0.3371,0.3373,0.3439,0.3454,0.3504,0.3523
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-25,168,0.0,46.55,28.0709,0.4729,0.5178,0.5476,0.566,0.5709,0.5793,0.5818,0.5934,0.6629,0.7066,0.7193,0.7268
Frozen Fisher,FrozenFisher_T2_CPA_IOS_APPS,Nzcx,2025-07-04,168,0.0,0.56,38.0695,56.1198,57.8393,58.3164,62.8771,65.1064,65.6418,65.6418,65.645,66.5289,67.1618,67.7218,67.7596
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-22,167,0.0,44.02,26.0255,0.46,0.5261,0.5465,0.5678,0.5843,0.5849,0.5895,0.5917,0.6148,0.6693,0.6744,0.6772
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-24,167,0.0,77.35,26.4276,0.2854,0.3169,0.3272,0.329,0.3323,0.3333,0.3334,0.3349,0.3467,0.3521,0.3535,0.3547
Color Stone Sort,Colorstone_T3_ZAINID_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-06,166,0.0,2.21,11.397,3.8003,4.2107,4.3164,4.4176,4.5003,4.5295,4.557,4.6048,4.8162,4.8546,4.879,4.879
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-03,166,0.0,1.69,9.9964,3.9586,4.3088,4.4441,4.5298,4.534,4.5682,4.5716,4.6354,4.6867,4.6924,4.6926,4.6926
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-18,165,0.0,48.17,22.4655,0.3713,0.3963,0.4161,0.4266,0.4367,0.4463,0.4534,0.4559,0.4797,0.4883,0.4947,0.5068
Frozen Fisher,FrozenFisher_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-14,165,0.0,63.2,43.6921,0.3558,0.4869,0.5665,0.5897,0.6095,0.6264,0.6511,0.6624,0.7582,0.8347,0.8733,0.8955
Frozen Fisher,FrozenFisher_AND_T3_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-17,165,0.0,3.45,3.1946,0.6371,0.6634,0.7292,0.7393,0.7549,0.7766,0.7766,0.7766,0.7838,0.7838,0.7838,0.7838
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-15,164,0.0,43.22,18.1444,0.4198,0.4677,0.4887,0.498,0.5045,0.5114,0.514,0.5149,0.5432,0.5627,0.566,0.5691
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-16,164,0.0,44.84,18.8229,0.3737,0.4012,0.4176,0.4217,0.4283,0.4299,0.4318,0.4436,0.4513,0.4557,0.4618,0.4639
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-23,162,0.0,76.52,26.2423,0.2567,0.2739,0.2841,0.2961,0.3084,0.3111,0.3138,0.3159,0.3525,0.3616,0.3634,0.3639
Frozen Fisher,FrozenFisher_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-14,161,0.0,71.73,145.4963,1.3442,1.5991,1.6475,1.6683,1.6834,1.7026,1.7371,1.7479,1.7925,1.8097,1.8155,1.848
ColorDonut Sort,ColorDonut_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-17,159,0.0,45.29,18.4434,0.3599,0.4358,0.462,0.4976,0.5326,0.5612,0.5666,0.5674,0.6085,0.625,0.635,0.6394
Frozen Fisher,FrozenFisher_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-10,159,0.0,73.25,54.7447,0.4159,0.5061,0.5556,0.5888,0.6165,0.6484,0.6648,0.6819,0.7649,0.7952,0.8114,0.8114
Frozen Fisher,FrozenFisher_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-12,159,0.0,77.57,109.1328,1.0655,1.4593,1.5314,1.5895,1.6135,1.6428,1.6723,1.6782,1.7656,1.8225,1.8414,1.851
Frozen Fisher,FrozenFisher_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-07,158,0.0,69.88,38.1745,0.3672,0.4802,0.5473,0.6075,0.6268,0.6499,0.6773,0.7016,0.8114,0.8848,0.8986,0.8999
Color Stone Sort,Colorstone_T3_ZAINID_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-07,156,0.0,2.45,10.2277,2.923,3.544,3.8716,3.9688,4.0708,4.1159,4.3809,4.4379,6.0075,6.1531,6.1564,6.1564
Color Stone Sort,Colorstone_T3_AND_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-04,153,0.0,1.92,3.9824,1.5548,1.9894,2.1882,2.5927,2.8938,3.0891,3.1577,3.2111,3.2668,3.2707,3.2707,3.2718
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-04,153,0.0,1.62,9.2664,3.2919,4.5856,5.1841,5.4401,5.4461,5.48,5.5402,5.5774,5.7855,5.823,5.823,5.823
Frozen Fisher,FrozenFisher_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-15,152,0.0,56.15,45.905,0.3357,0.5019,0.569,0.6077,0.6386,0.6539,0.6888,0.711,0.7953,0.8174,0.8549,0.855
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-13,151,0.0,2.56,16.489,3.6992,4.0486,4.2644,4.3512,4.3799,4.3941,4.4029,4.4029,4.4029,4.4037,4.4037,4.4039
Color Stone Sort,Colorstone_T3_ZAINID_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-07-24,148,0.0,1.43,8.6801,5.3136,5.8526,5.9592,6.2013,6.4093,6.5464,6.6007,6.6457,6.9594,7.8622,8.2371,8.2738
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NDg1,2025-07-05,148,0.0,2.28,10.0788,2.7821,3.1405,3.3295,3.3727,3.4362,3.4738,3.5559,3.5559,3.5774,3.5824,3.5836,3.5843
Frozen Fisher,FrozenFisher_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-13,148,0.0,55.87,44.976,0.4373,0.5491,0.6712,0.7118,0.7506,0.7843,0.8018,0.8104,0.9115,0.9626,1.003,1.0031
Frozen Fisher,FrozenFisher_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-13,148,0.0,90.88,130.4915,0.8842,1.1303,1.1814,1.2185,1.2595,1.3023,1.3244,1.3381,1.3948,1.4174,1.4244,1.4373
Frozen Fisher,FrozenFisher_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-17,148,0.0,72.48,103.4413,0.9786,1.1304,1.2067,1.2501,1.2649,1.2837,1.2931,1.3005,1.3555,1.3813,1.3982,1.4609
Frozen Fisher,FrozenFisher_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-18,146,0.0,76.47,95.6433,0.8269,1.0879,1.1539,1.1681,1.1794,1.1878,1.1979,1.1993,1.2108,1.2177,1.2199,1.2199
Color Stone Sort,Colorstone_T3_ZAINID_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-25,145,0.0,3.86,10.1979,1.556,1.6947,1.7984,1.8303,1.8585,1.8867,1.9315,2.028,2.028,2.028,2.028,2.028
Frozen Fisher,FrozenFisher_AND_T2_CPA_SPE_Int,WUpaY0xnb1A3QWNh,2025-07-16,145,0.0,45.42,54.2276,0.5924,0.78,0.8557,0.916,0.9388,0.9615,0.9847,1.0309,1.084,1.1521,1.1683,1.1683
Color Stone Sort,Colorstone_T3_ZAINID_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-24,144,0.0,4.14,12.0769,1.8239,2.1862,2.2659,2.2938,2.3003,2.3368,2.3487,2.363,2.3885,2.3885,2.3885,2.3885
Color Stone Sort,Colorstone_T3_AND_CPA_SRT,ZnRsYllUZHRUWGRh,2025-07-09,143,0.0,1.85,3.5413,1.3738,1.514,1.5145,1.577,1.5879,1.6095,1.6095,1.6184,1.6725,1.6753,1.6769,1.6771
ColorJelly Sort,ColorJelly_AND_T2_CPA_TBSDK,NzQ4,2025-07-18,141,0.0,0.98,7.2862,4.7336,4.7942,4.8745,4.8986,4.9182,4.9551,4.9551,4.9551,4.9681,5.0569,5.1002,5.1594
Color Stone Sort,Colorstone_T3_ZAINID_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-14,140,0.0,2.82,11.4792,2.5353,3.1225,3.4524,3.5093,3.5996,3.6332,3.7989,3.8218,4.1011,4.13,4.13,4.13
Color Stone Sort,Colorstone_T3_ZAINID_AND_CPA_SMN,NHk5Z01ONldCUTh5,2025-08-05,138,0.0,1.7,8.3778,3.6491,4.1475,4.3175,4.4295,4.4618,4.4662,4.4882,4.5116,4.6235,4.8543,4.8854,4.8854
Frozen Fisher,FrozenFisher_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-11,138,0.0,62.17,117.4295,1.5297,1.6553,1.7467,1.789,1.8367,1.847,1.8749,1.8807,1.9079,1.9079,1.9116,1.9123
Frozen Fisher,FrozenFisher_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-20,138,0.0,75.98,96.1744,0.7842,0.9267,1.0285,1.1319,1.1728,1.2004,1.2328,1.2453,1.2858,1.33,1.3717,1.3831
Frozen Fisher,FrozenFisher_IOS_US_CPA_SCR,OTlwSkZrSHNEcm01,2025-07-21,138,0.0,73.49,115.8268,1.166,1.3579,1.4075,1.4209,1.4491,1.4847,1.493,1.5141,1.5461,1.5541,1.5847,1.5848
